City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
283,West Plains,US,2020-06-27 20:44:46,36.73,-91.85,84.2,62,75,12.75
284,Los Llanos De Aridane,ES,2020-06-27 20:48:53,28.66,-17.92,73.4,64,75,16.11
285,Salalah,OM,2020-06-27 20:48:53,17.02,54.09,84.2,89,75,6.93
286,Oktyabrskiy,RU,2020-06-27 20:48:53,54.48,53.47,58.26,93,100,9.48
287,Bubaque,GW,2020-06-27 20:48:53,11.28,-15.83,81.86,84,92,14.34
288,Kalabo,ZM,2020-06-27 20:48:53,-14.97,22.68,57.79,49,0,1.95
289,Doha,QA,2020-06-27 20:48:53,25.29,51.53,90.0,66,12,2.24
290,Kargasok,RU,2020-06-27 20:48:53,59.06,80.86,62.78,92,100,10.33
291,Hay River,CA,2020-06-27 20:48:53,60.82,-115.8,66.2,55,20,4.7
292,Iwanai,JP,2020-06-27 20:48:53,42.97,140.51,61.79,90,99,4.63
293,Kavieng,PG,2020-06-27 20:48:53,-2.57,150.8,81.99,78,79,9.75
294,Grand Gaube,MU,2020-06-27 20:48:53,-20.01,57.66,72.0,79,58,5.99
295,Zhenlai,CN,2020-06-27 20:48:53,45.85,123.3,67.87,69,49,7.63
296,Adeje,ES,2020-06-27 20:48:53,28.12,-16.73,73.99,64,20,21.92
297,Pangnirtung,CA,2020-06-27 20:47:05,66.15,-65.71,50.11,61,65,3.89
298,La Rioja,ES,2020-06-27 20:48:53,42.25,-2.5,77.0,61,0,4.7
299,Kamaishi,JP,2020-06-27 20:48:53,39.27,141.88,67.32,79,100,4.72
300,Riyadh,SA,2020-06-27 20:48:53,24.69,46.72,89.6,22,14,2.24
301,Bilibino,RU,2020-06-27 20:48:53,68.05,166.44,40.32,65,44,9.82
302,Wanaka,NZ,2020-06-27 20:48:53,-44.7,169.15,36.0,91,100,2.77
303,Miraflores,MX,2020-06-27 20:48:53,19.22,-98.81,77.0,29,40,10.29
304,Rumuruti,KE,2020-06-27 20:48:53,0.27,36.54,57.63,82,2,7.31
305,Boende,CD,2020-06-27 20:48:54,-0.22,20.87,72.52,90,51,1.28
