City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description,Rain (inches),Snow (inches)
256,Ixtapa,20.7,-105.2,86.0,62,75,6.93,MX,2020-06-28 16:17:38,broken clouds,0.0,0.0
257,Torbay,47.67,-52.73,68.0,87,75,8.05,CA,2020-06-28 16:17:38,broken clouds,0.0,0.0
258,Honiara,-9.43,159.95,75.2,94,40,3.36,SB,2020-06-28 16:17:38,scattered clouds,0.0,0.0
259,Vila Velha,-20.33,-40.29,77.0,65,40,14.99,BR,2020-06-28 16:16:28,scattered clouds,0.0,0.0
260,Rodrigues Alves,-7.74,-72.65,84.61,73,1,1.66,BR,2020-06-28 16:17:38,moderate rain,1.33,0.0
261,Arica,-18.48,-70.3,62.6,67,0,12.75,CL,2020-06-28 16:15:36,clear sky,0.0,0.0
262,Kamenka,51.32,42.77,81.0,47,79,3.0,RU,2020-06-28 16:17:38,moderate rain,1.37,0.0
263,Tessalit,20.2,1.01,109.87,7,23,10.78,ML,2020-06-28 16:17:38,few clouds,0.0,0.0
264,Atikokan,48.76,-91.62,83.01,33,53,8.52,CA,2020-06-28 16:17:38,broken clouds,0.0,0.0
265,Hirado,33.36,129.55,71.01,89,25,0.87,JP,2020-06-28 16:17:38,scattered clouds,0.0,0.0
266,Le Moule,16.33,-61.35,87.8,66,100,13.87,GP,2020-06-28 16:17:38,overcast clouds,0.0,0.0
267,Nhulunbuy,-12.23,136.77,73.4,83,75,6.93,AU,2020-06-28 16:17:38,broken clouds,0.0,0.0
268,Grand Gaube,-20.01,57.66,73.99,75,12,5.99,MU,2020-06-28 16:16:50,few clouds,0.0,0.0
269,Det Udom,14.91,105.08,82.4,83,20,2.24,TH,2020-06-28 16:17:39,few clouds,0.0,0.0
270,Kruisfontein,-34.0,24.73,54.34,72,5,16.15,ZA,2020-06-28 16:17:39,clear sky,0.0,0.0
271,Simiti,7.96,-73.94,84.33,71,100,3.85,CO,2020-06-28 16:17:39,light rain,0.58,0.0
272,Manaus,-3.1,-60.02,87.8,74,40,4.7,BR,2020-06-28 16:17:39,scattered clouds,0.0,0.0
